id,edad,genero,nivel_educativo,region,ingreso_mensual,saldo_cuenta,score_crediticio,dias_mora_12m,monto_prestamo_solicitado
1,56,M,Secundaria,Norte,3390.29,7044.24,630.0,5.0,8575.03
2,69,F,Primaria,Sur,1294.19,1634.55,548.0,8.0,
3,46,M,Tecnico,Centro,,2532.94,507.0,8.0,4227.19
4,32,F,Universitario,Norte,2951.14,6405.47,591.0,4.0,9040.18
5,60,F,Postgrado,Sur,3701.95,7720.67,641.0,8.0,12337.47
6,25,M,Secundaria,Centro,1419.09,1028.84,461.0,7.0,6198.48
7,38,F,Tecnico,Centro,2471.13,5243.97,551.0,11.0,4004.28
8,56,M,Tecnico,Centro,2542.31,3504.86,590.0,5.0,10339.74
9,75,M,Secundaria,Norte,1731.57,3968.05,566.0,6.0,4292.98
10,36,F,Tecnico,Norte,5555.99,10830.6,765.0,7.0,19495.39
11,40,F,Secundaria,Centro,3717.61,,712.0,6.0,11371.33
12,28,M,Postgrado,Centro,4347.55,9188.65,703.0,6.0,15183.55
13,28,F,Tecnico,Occidente,3110.16,5786.8,729.0,3.0,10295.88
14,41,M,Universitario,Norte,1865.74,3160.1,577.0,11.0,5540.82
15,70,M,Secundaria,Occidente,1692.84,3030.23,607.0,6.0,5573.22
16,53,F,Primaria,Centro,,3134.45,561.0,4.0,3779.12
17,57,M,Secundaria,Centro,3052.76,5287.29,676.0,10.0,9672.18
18,41,M,Universitario,Centro,1586.7,2706.68,,7.0,3183.71
19,20,F,Universitario,Centro,1802.05,4145.52,,9.0,4371.58
20,39,F,Secundaria,Sur,1630.59,1899.43,549.0,7.0,7711.76
21,70,M,Universitario,Centro,5309.31,10420.72,,7.0,19642.27
22,19,M,Secundaria,Sur,1564.57,2809.47,,8.0,2630.01
23,41,F,Secundaria,Centro,,3598.92,587.0,4.0,8110.74
24,61,F,Universitario,Sur,2445.79,4878.02,,10.0,8389.16
25,47,F,Universitario,Sur,3552.84,5152.55,690.0,1.0,12538.55
26,55,M,Secundaria,,994.37,,538.0,10.0,2964.31
27,19,M,Secundaria,Oriente,1076.31,3633.56,540.0,10.0,3064.21
28,38,M,Secundaria,Oriente,1402.57,2166.02,539.0,5.0,1161.27
29,50,F,Secundaria,Occidente,937.86,1388.55,441.0,7.0,1462.95
30,29,F,Universitario,Norte,1402.51,3153.68,576.0,6.0,
31,75,F,Tecnico,Oriente,1650.35,3478.78,538.0,8.0,4572.75
32,39,F,Primaria,Occidente,636.55,1654.28,,9.0,2599.14
33,61,M,Secundaria,Sur,1512.25,2358.15,621.0,,3381.26
34,42,M,Postgrado,Sur,3839.79,,662.0,11.0,14169.42
35,66,M,Universitario,Occidente,1764.27,2720.24,590.0,5.0,
36,44,M,Universitario,Occidente,2102.16,4157.24,634.0,6.0,5723.01
37,59,M,Primaria,Sur,1068.65,1819.64,514.0,10.0,2692.0
38,45,M,Universitario,Centro,4938.18,9499.79,708.0,7.0,16223.32
39,33,F,Secundaria,Oriente,1584.77,3575.98,619.0,5.0,5423.88
40,32,F,Tecnico,Norte,4875.56,9124.41,660.0,4.0,16661.07
41,64,M,Postgrado,Centro,2861.69,4535.75,650.0,5.0,10194.82
42,68,F,Primaria,Occidente,1047.38,679.05,526.0,9.0,924.23
43,61,M,Secundaria,Oriente,2612.94,3797.23,544.0,9.0,6958.89
44,72,F,Primaria,Occidente,408.99,0.0,383.0,5.0,1048.0
45,69,F,Secundaria,Sur,2246.25,6436.58,563.0,2.0,7763.49
46,74,F,Secundaria,Centro,1530.52,3282.38,598.0,13.0,4030.34
47,20,M,Universitario,,2417.51,4532.71,613.0,8.0,8556.54
48,54,M,Secundaria,Centro,,1935.72,530.0,7.0,500.0
49,68,M,Tecnico,Oriente,2469.33,5194.83,617.0,8.0,8013.34
50,24,F,Universitario,Sur,1009.12,1662.39,,3.0,4092.29
51,38,F,Postgrado,Centro,,4493.54,605.0,8.0,7832.14
52,26,F,Secundaria,Norte,3510.55,6798.24,671.0,4.0,13867.22
53,56,M,Secundaria,,1587.56,3190.98,529.0,9.0,4122.31
54,35,F,Primaria,Sur,,1306.68,487.0,13.0,2899.01
55,21,F,Primaria,Norte,1183.61,1318.83,554.0,4.0,
56,42,M,Tecnico,Centro,2521.18,4586.02,556.0,8.0,10024.75
57,31,M,Primaria,Sur,1227.1,3077.88,499.0,7.0,3944.34
58,67,F,Secundaria,Oriente,1497.18,3298.18,518.0,9.0,2781.14
59,75,M,Primaria,Norte,980.59,2019.39,512.0,9.0,1983.63
60,26,F,Tecnico,Sur,986.91,2428.63,495.0,4.0,
61,43,F,Secundaria,Norte,648.18,208.7,471.0,10.0,2584.34
62,70,F,Primaria,Norte,871.69,1440.93,461.0,10.0,855.35
